timestamp,symbol,side,qty,price,amount,source
2025-06-11 16:39:29,AAPL,buy,64.0,200.42,12826.88,manual
2025-06-11 16:39:29,AAPL,buy,63.0,200.44,12627.72,manual
2025-06-11 16:39:29,AAPL,buy,73.0,200.44,14632.12,manual
2025-06-11 16:36:03,TSLA,buy,1.0,329.09,329.09,manual
2025-06-11 16:36:02,TSLA,buy,13.0,329.09,4278.17,manual
2025-06-11 16:36:02,TSLA,buy,108.0,329.09,35541.719999999994,manual
2025-06-11 13:30:36,AAPL,buy,95.0,203.29,19312.55,manual
2025-06-11 13:30:17,AAPL,buy,104.0,203.0,21112.0,manual
2025-06-10 15:50:33,MSFT,buy,58.0,468.6,27178.800000000003,manual
2025-06-09 19:28:10,TSLA,buy,7.0,302.34,2116.3799999999997,manual
2025-06-09 19:28:10,TSLA,buy,3.0,302.33,906.99,manual
2025-06-09 19:24:50,MSFT,buy,1.0,473.31,473.31,manual
2025-06-09 19:24:50,MSFT,buy,9.0,473.31,4259.79,manual
2025-06-09 19:24:39,TSLA,buy,10.0,302.15,3021.5,manual
2025-06-09 19:24:29,TSLA,buy,10.0,302.05,3020.5,manual
2025-06-09 16:50:19,AAPL,buy,1.0,204.64,204.64,manual
2025-06-09 16:50:18,AAPL,buy,1.0,204.64,204.64,manual
2025-06-09 16:50:18,AAPL,buy,8.0,204.64,1637.12,manual
2025-06-09 16:33:15,MSFT,buy,1.0,470.96,470.96,manual
2025-06-09 16:33:15,MSFT,buy,8.0,470.96,3767.68,manual
2025-06-09 16:33:15,MSFT,buy,1.0,470.96,470.96,manual
2025-06-11 16:39:29,AAPL,buy,64.0,200.42,12826.88,manual
2025-06-11 16:39:29,AAPL,buy,63.0,200.44,12627.72,manual
2025-06-11 16:39:29,AAPL,buy,73.0,200.44,14632.12,manual
2025-06-11 16:36:03,TSLA,buy,1.0,329.09,329.09,manual
2025-06-11 16:36:02,TSLA,buy,13.0,329.09,4278.17,manual
2025-06-11 16:36:02,TSLA,buy,108.0,329.09,35541.719999999994,manual
2025-06-11 13:30:36,AAPL,buy,95.0,203.29,19312.55,manual
2025-06-11 13:30:17,AAPL,buy,104.0,203.0,21112.0,manual
2025-06-10 15:50:33,MSFT,buy,58.0,468.6,27178.800000000003,manual
2025-06-09 19:28:10,TSLA,buy,7.0,302.34,2116.3799999999997,manual
